,index,year,exporter,importer,product,value,quantity
102,74725,2022,ARG,IND,260700,153.519,236.274
103,74875,2022,ARG,IND,780191,0.003,0.001
104,75293,2022,ARG,SGP,850710,0.237,0.089
105,78509,2022,ARG,CHE,850710,6.743,0.769
106,81356,2022,ARG,USA,780191,613.875,274.153
107,81548,2022,ARG,USA,850710,6.718,0.009
108,81549,2022,ARG,USA,850720,50.32,0.141
109,83363,2022,ARG,URY,780110,2.183,1.0
110,83364,2022,ARG,URY,780419,47.863,14.712
111,83717,2022,ARG,URY,850710,132.574,44.382
112,83718,2022,ARG,URY,850720,12.311,2.178
113,84930,2022,AUS,ARG,850710,37.587,12.389
114,86976,2022,AUS,BHR,850710,0.373,0.048
115,87277,2022,AUS,BGD,780191,221.308,98.13
116,87408,2022,AUS,ARM,282410,23.476,9.0
117,88606,2022,AUS,BEL,780199,652.312,346.51
118,88910,2022,AUS,BEL,850710,0.833,0.264
119,89881,2022,AUS,BOL,850720,1.177,0.342
120,91815,2022,AUS,BRA,850710,37.279,10.568
121,91816,2022,AUS,BRA,850720,4.037,1.024
122,92732,2022,AUS,SLB,780411,4.262,0.001
123,92986,2022,AUS,SLB,850710,15.277,5.035
124,92987,2022,AUS,SLB,850720,65.549,14.622
125,93621,2022,AUS,BRN,850720,0.126,0.028
126,93728,2022,AUS,BGR,282490,19.611,6.0
127,93951,2022,AUS,BGR,780200,8465.002,6875.37
128,93952,2022,AUS,BGR,780600,2.735,0.001
129,95201,2022,AUS,KHM,780199,3.795,41.1
130,95202,2022,AUS,KHM,780420,54.038,41.075
131,95365,2022,AUS,KHM,850720,0.183,0.009
132,95902,2022,AUS,CAN,260700,0.654,0.752
133,95933,2022,AUS,CAN,282410,437.381,172.081
134,97484,2022,AUS,CAN,850720,613.879,184.497
135,99514,2022,AUS,CHL,850710,29.352,10.798
136,99515,2022,AUS,CHL,850720,1.715,0.443
137,100224,2022,AUS,CHN,260700,147827.447,79161.919
138,101663,2022,AUS,CHN,780110,0.117,0.05
139,101664,2022,AUS,CHN,780199,614.092,211.032
140,101665,2022,AUS,CHN,780600,113.111,1.056
141,102108,2022,AUS,CHN,850710,17.965,5.921
142,102109,2022,AUS,CHN,850720,93.713,6.408
143,103207,2022,AUS,CXR,850710,25.701,8.471
144,103208,2022,AUS,CXR,850720,1.6,0.357
145,103711,2022,AUS,CCK,850710,24.738,8.154
146,103712,2022,AUS,CCK,850720,40.231,8.974
147,104213,2022,AUS,COL,850720,12.147,0.422
148,104923,2022,AUS,COK,850720,34.613,7.721
149,105357,2022,AUS,CRI,850710,2.194,0.112
150,108590,2022,AUS,DNK,850710,0.331,0.046
151,109657,2022,AUS,ETH,282490,0.203,0.045
152,110474,2022,AUS,EST,850720,0.079,0.002
153,111198,2022,AUS,FJI,282490,1.195,0.004
154,112543,2022,AUS,FJI,780110,28.854,2.134
155,112544,2022,AUS,FJI,780199,119.808,10.792
156,112545,2022,AUS,FJI,780411,10.646,2.631
157,112546,2022,AUS,FJI,780419,42.551,8.306
158,112547,2022,AUS,FJI,780600,2.987,0.526
159,113059,2022,AUS,FJI,850710,151.612,34.048
160,113060,2022,AUS,FJI,850720,240.418,50.796
161,113773,2022,AUS,FIN,282410,9.429,1.115
162,114516,2022,AUS,FIN,850710,0.41,0.084
163,114517,2022,AUS,FIN,850720,0.167,0.044
164,115128,2022,AUS,FRA,260700,0.272,0.018
165,116281,2022,AUS,FRA,780199,0.112,0.015
166,116282,2022,AUS,FRA,780600,1.848,0.002
167,116673,2022,AUS,FRA,850710,0.339,0.021
168,116674,2022,AUS,FRA,850720,11.397,0.353
169,117781,2022,AUS,PYF,850710,11.741,3.87
170,117782,2022,AUS,PYF,850720,17.874,3.987
